TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
TRANSPORTEMOBILIDADE,FROTA,,Qual é o número de automóveis em Salvador?,numero_automoveis.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de automóveis
TRANSPORTEMOBILIDADE,FROTA,,Qual é o número de caminhões em Salvador?,numero_caminhoes.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de caminhões
TRANSPORTEMOBILIDADE,FROTA,,Qual é o número de caminhonetas em Salvador?,numero_caminhonetas.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de caminhonetas
TRANSPORTEMOBILIDADE,FROTA,,Qual é o número de micro-ônibus em Salvador?,numero_micro-onibus.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de micro-ônibus
TRANSPORTEMOBILIDADE,FROTA,,Qual é o número de motocicletas em Salvador?,numero_motocicletas.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de motocicletas
TRANSPORTEMOBILIDADE,FROTA,,Qual é o número de ônibus em Salvador?,numero_onibus.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de ônibus
TRANSPORTEMOBILIDADE,FROTA,,Qual  é o número de veículos totais em Salvador?,numero_total.csv,,https://www.ibge.gov.br/,recossa,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de veículos
